epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
18,2020-04-30,49,AM,,13,state,5254,126.76745,453,425,45,0.0809,4144597,False,False
18,2020-04-30,42,AP,,16,state,1080,127.70018,64,34,3,0.0315,845731,False,False
18,2020-04-30,56,BA,,29,state,2867,19.27646,191,106,6,0.037,14873064,False,False
18,2020-04-30,46,CE,,23,state,7861,86.08117,452,492,42,0.0626,9132078,False,False
18,2020-04-30,55,DF,,53,state,1423,47.19315,110,30,2,0.0211,3015268,False,False
18,2020-04-30,57,ES,,32,state,2688,66.88813,150,93,9,0.0346,4018650,False,False
18,2020-04-30,50,GO,,52,state,781,11.12797,76,29,2,0.0371,7018354,False,False
18,2020-04-30,42,MA,,21,state,3506,49.5535,316,204,20,0.0582,7075181,False,False
18,2020-04-30,54,MG,,31,state,1827,8.63063,69,82,2,0.0449,21168791,False,False
18,2020-04-30,48,MS,,50,state,255,9.17601,6,9,0,0.0353,2778986,False,False
18,2020-04-30,42,MT,,51,state,302,8.66704,10,11,0,0.0364,3484466,False,False
18,2020-04-30,44,PA,,15,state,2999,34.86048,413,224,68,0.0747,8602865,False,False
18,2020-04-30,50,PB,,25,state,926,23.04556,112,67,5,0.0724,4018127,False,False
18,2020-04-30,50,PE,,26,state,6876,71.94673,682,565,27,0.0822,9557071,False,False
18,2020-04-30,43,PI,,22,state,600,18.33053,87,24,0,0.04,3273227,False,False
18,2020-04-30,50,PR,,41,state,1423,12.44539,59,88,4,0.0618,11433957,False,False
18,2020-04-30,57,RJ,,33,state,9453,54.75257,584,854,60,0.0903,17264943,False,False
18,2020-04-30,50,RN,,24,state,1297,36.98473,120,56,0,0.0432,3506853,False,False
18,2020-04-30,42,RO,,11,state,502,28.24628,69,16,1,0.0319,1777225,False,False
18,2020-04-30,41,RR,,14,state,519,85.67735,93,7,3,0.0135,605761,False,False
18,2020-04-30,52,RS,,43,state,1529,13.43911,109,58,7,0.0379,11377239,False,False
18,2020-04-30,50,SC,,42,state,2394,33.41341,309,48,2,0.0201,7164788,False,False
18,2020-04-30,48,SE,,28,state,453,19.70683,173,14,3,0.0309,2298696,False,False
18,2020-04-30,66,SP,,35,state,28698,62.49694,2540,2375,128,0.0828,45919049,False,False
18,2020-04-30,44,TO,,17,state,164,10.42683,27,3,0,0.0183,1572866,False,False
18,2020-04-29,44,AC,,12,state,354,40.13901,37,18,2,0.0508,881935,False,False
18,2020-04-29,53,AL,,27,state,957,28.67539,180,41,5,0.0428,3337357,False,False
18,2020-04-29,48,AM,,13,state,4801,115.83756,464,380,29,0.0792,4144597,False,False
18,2020-04-29,41,AP,,16,state,1016,120.13276,98,31,3,0.0305,845731,False,False
18,2020-04-29,55,BA,,29,state,2676,17.99226,112,100,7,0.0374,14873064,False,False
18,2020-04-29,45,CE,,23,state,7409,81.13159,424,450,33,0.0607,9132078,False,False
18,2020-04-29,54,DF,,53,state,1313,43.54505,83,28,0,0.0213,3015268,False,False
18,2020-04-29,56,ES,,32,state,2538,63.15554,374,84,7,0.0331,4018650,False,False
18,2020-04-29,49,GO,,52,state,705,10.04509,44,27,0,0.0383,7018354,False,False
18,2020-04-29,41,MA,,21,state,3190,45.08719,386,184,18,0.0577,7075181,False,False
18,2020-04-29,53,MG,,31,state,1758,8.30468,109,80,9,0.0455,21168791,False,False
18,2020-04-29,47,MS,,50,state,249,8.9601,9,9,0,0.0361,2778986,False,False
18,2020-04-29,41,MT,,51,state,292,8.38005,29,11,0,0.0377,3484466,False,False
18,2020-04-29,43,PA,,15,state,2586,30.05975,267,156,24,0.0603,8602865,False,False
18,2020-04-29,49,PB,,25,state,814,20.25819,116,62,5,0.0762,4018127,False,False
18,2020-04-29,49,PE,,26,state,6194,64.81065,470,538,30,0.0869,9557071,False,False
18,2020-04-29,42,PI,,22,state,513,15.67261,59,24,0,0.0468,3273227,False,False
18,2020-04-29,49,PR,,41,state,1364,11.92938,78,84,5,0.0616,11433957,False,False
18,2020-04-29,56,RJ,,33,state,8869,51.36999,365,794,56,0.0895,17264943,False,False
18,2020-04-29,49,RN,,24,state,1177,33.56286,91,56,2,0.0476,3506853,False,False
18,2020-04-29,41,RO,,11,state,433,24.36383,20,15,4,0.0346,1777225,False,False
18,2020-04-29,40,RR,,14,state,426,70.32477,1,4,0,0.0094,605761,False,False
18,2020-04-29,51,RS,,43,state,1420,12.48106,70,51,2,0.0359,11377239,False,False
18,2020-04-29,49,SC,,42,state,2085,29.10065,90,46,2,0.0221,7164788,False,False
18,2020-04-29,47,SE,,28,state,280,12.18082,0,11,0,0.0393,2298696,False,True
18,2020-04-29,65,SP,,35,state,26158,56.96547,2117,2247,198,0.0859,45919049,False,False
18,2020-04-29,43,TO,,17,state,137,8.71021,21,3,1,0.0219,1572866,False,False
18,2020-04-28,43,AC,,12,state,317,35.94369,16,16,2,0.0505,881935,False,False
18,2020-04-28,52,AL,,27,state,777,23.2819,134,36,2,0.0463,3337357,False,False
18,2020-04-28,47,AM,,13,state,4337,104.64226,409,351,31,0.0809,4144597,False,False
18,2020-04-28,40,AP,,16,state,918,108.54515,76,28,2,0.0305,845731,False,False
